datetime,CZCE.TA005.open,CZCE.TA005.high,CZCE.TA005.low,CZCE.TA005.close,CZCE.TA005.volume,CZCE.TA005.open_oi,CZCE.TA005.close_oi
2019-11-22 21:56:00.000000000,4808.0,4812.0,4808.0,4810.0,1658,595164,594948
2019-11-22 21:57:00.000000000,4810.0,4810.0,4806.0,4808.0,522,594948,595054
2019-11-22 21:58:00.000000000,4808.0,4808.0,4806.0,4806.0,230,595054,595066
2019-11-22 21:59:00.000000000,4806.0,4808.0,4806.0,4808.0,108,595066,595096
2019-11-22 22:00:00.000000000,4808.0,4810.0,4806.0,4810.0,228,595096,595102
2019-11-22 22:01:00.000000000,4810.0,4812.0,4808.0,4810.0,376,595102,595100
2019-11-22 22:02:00.000000000,4810.0,4810.0,4808.0,4810.0,200,595100,595124
2019-11-22 22:03:00.000000000,4810.0,4810.0,4808.0,4810.0,438,595124,595026
2019-11-22 22:04:00.000000000,4810.0,4814.0,4810.0,4812.0,806,595026,594872
2019-11-22 22:05:00.000000000,4812.0,4812.0,4808.0,4810.0,374,594872,594790
2019-11-22 22:06:00.000000000,4810.0,4810.0,4808.0,4808.0,126,594790,594720
2019-11-22 22:07:00.000000000,4808.0,4808.0,4806.0,4808.0,406,594720,594826
2019-11-22 22:08:00.000000000,4808.0,4808.0,4804.0,4806.0,462,594826,594936
2019-11-22 22:09:00.000000000,4806.0,4808.0,4806.0,4808.0,114,594936,594922
2019-11-22 22:10:00.000000000,4808.0,4808.0,4806.0,4806.0,148,594922,594922
2019-11-22 22:11:00.000000000,4806.0,4808.0,4806.0,4808.0,50,594922,594886
2019-11-22 22:12:00.000000000,4808.0,4808.0,4804.0,4806.0,184,594886,594944
2019-11-22 22:13:00.000000000,4806.0,4808.0,4804.0,4806.0,158,594944,594848
2019-11-22 22:14:00.000000000,4806.0,4808.0,4806.0,4806.0,88,594848,594832
2019-11-22 22:15:00.000000000,4806.0,4808.0,4804.0,4804.0,86,594832,594824
2019-11-22 22:16:00.000000000,4804.0,4808.0,4804.0,4806.0,90,594824,594790
2019-11-22 22:17:00.000000000,4806.0,4806.0,4804.0,4806.0,226,594790,594826
2019-11-22 22:18:00.000000000,4806.0,4806.0,4804.0,4806.0,30,594826,594828
2019-11-22 22:19:00.000000000,4806.0,4806.0,4806.0,4806.0,222,594828,594842
2019-11-22 22:20:00.000000000,4806.0,4806.0,4802.0,4804.0,460,594842,594984
2019-11-22 22:21:00.000000000,4804.0,4806.0,4804.0,4804.0,174,594984,594978
2019-11-22 22:22:00.000000000,4804.0,4806.0,4804.0,4804.0,292,594978,594994
2019-11-22 22:23:00.000000000,4804.0,4806.0,4802.0,4802.0,262,594994,595076
2019-11-22 22:24:00.000000000,4802.0,4806.0,4802.0,4804.0,414,595076,595026
2019-11-22 22:25:00.000000000,4804.0,4808.0,4804.0,4804.0,268,595026,595038
