datetime,DCE.l2001.open,DCE.l2001.high,DCE.l2001.low,DCE.l2001.close,DCE.l2001.volume,DCE.l2001.open_oi,DCE.l2001.close_oi
2019-10-09 09:28:00.000000000,7400.0,7405.0,7400.0,7405.0,404,636078,636180
2019-10-09 09:29:00.000000000,7405.0,7405.0,7400.0,7400.0,268,636180,636214
2019-10-09 09:30:00.000000000,7400.0,7405.0,7390.0,7395.0,2272,636214,636654
2019-10-09 09:31:00.000000000,7395.0,7400.0,7395.0,7395.0,1558,636654,635796
2019-10-09 09:32:00.000000000,7395.0,7400.0,7395.0,7395.0,320,635796,635632
2019-10-09 09:33:00.000000000,7395.0,7400.0,7395.0,7395.0,172,635632,635626
2019-10-09 09:34:00.000000000,7395.0,7400.0,7395.0,7395.0,1544,635626,635632
2019-10-09 09:35:00.000000000,7395.0,7400.0,7395.0,7400.0,104,635632,635584
2019-10-09 09:36:00.000000000,7400.0,7405.0,7395.0,7400.0,770,635584,635334
2019-10-09 09:37:00.000000000,7400.0,7405.0,7400.0,7400.0,274,635334,635234
2019-10-09 09:38:00.000000000,7400.0,7405.0,7400.0,7405.0,1122,635234,634944
2019-10-09 09:39:00.000000000,7405.0,7405.0,7400.0,7405.0,142,634944,634964
2019-10-09 09:40:00.000000000,7405.0,7405.0,7400.0,7405.0,228,634964,634930
2019-10-09 09:41:00.000000000,7405.0,7405.0,7400.0,7405.0,242,634930,635138
2019-10-09 09:42:00.000000000,7405.0,7405.0,7400.0,7405.0,106,635138,635200
2019-10-09 09:43:00.000000000,7405.0,7405.0,7400.0,7400.0,104,635200,635250
2019-10-09 09:44:00.000000000,7400.0,7405.0,7400.0,7400.0,264,635250,635340
2019-10-09 09:45:00.000000000,7400.0,7405.0,7395.0,7395.0,1212,635340,635678
2019-10-09 09:46:00.000000000,7395.0,7400.0,7395.0,7400.0,122,635678,635628
2019-10-09 09:47:00.000000000,7400.0,7400.0,7395.0,7395.0,244,635628,635680
2019-10-09 09:48:00.000000000,7395.0,7400.0,7395.0,7395.0,88,635680,635676
2019-10-09 09:49:00.000000000,7395.0,7400.0,7395.0,7400.0,240,635676,635724
2019-10-09 09:50:00.000000000,7400.0,7400.0,7395.0,7400.0,734,635724,636090
2019-10-09 09:51:00.000000000,7400.0,7405.0,7400.0,7400.0,146,636090,636158
2019-10-09 09:52:00.000000000,7400.0,7405.0,7400.0,7400.0,120,636158,636194
2019-10-09 09:53:00.000000000,7400.0,7405.0,7400.0,7405.0,122,636194,636260
2019-10-09 09:54:00.000000000,7405.0,7405.0,7395.0,7395.0,878,636260,636558
